transfer_id,sender_id,receiver_id,amount,ccy,created_at,state,transfer_type,reference_note
TRF-00001,CUST-1056,EXT-5068,526.07,GBP,1745286398000,COMPLETED,international,School tuition
TRF-00002,CUST-1119,CUST-1052,4515.68,SAR,1749539504000,COMPLETED,internal,Event tickets
TRF-00003,CUST-1038,CUST-1173,49152.11,SAR,1750544404000,COMPLETED,internal,Coffee money
TRF-00004,CUST-1106,CUST-1004,39630.28,SAR,1740027283000,COMPLETED,internal,Furniture split
TRF-00005,CUST-1024,EXT-5039,10010.48,SAR,1737345723000,COMPLETED,local_bank,Insurance premium
TRF-00006,CUST-1071,CUST-1030,9839.40,AED,1738680104000,COMPLETED,internal,Charity donation
TRF-00007,CUST-1169,CUST-1134,47551.59,SAR,1750682590000,PROCESSING,internal,Salary advance
TRF-00008,CUST-1109,EXT-5027,9011.24,GBP,1736437423000,COMPLETED,international,Parking fee
TRF-00009,CUST-1110,CUST-1122,17015.64,SAR,1744265574000,COMPLETED,internal,Eid gift
TRF-00010,CUST-1006,CUST-1127,28235.95,SAR,1738575388000,COMPLETED,internal,Furniture split
TRF-00011,CUST-1047,CUST-1044,10967.44,SAR,1740843951000,COMPLETED,internal,Grocery share
TRF-00012,CUST-1069,CUST-1197,10959.02,SAR,1741476419000,COMPLETED,internal,Grocery share
TRF-00013,CUST-1086,CUST-1129,28634.25,USD,1743209250000,COMPLETED,internal,Grocery share
TRF-00014,CUST-1003,CUST-1092,38637.82,USD,1741885324000,PROCESSING,internal,School tuition
TRF-00015,CUST-1097,EXT-5018,14050.89,USD,1743527602000,COMPLETED,international,Freelancer payment
TRF-00016,CUST-1133,EXT-5094,3170.33,SAR,1735885201000,COMPLETED,local_bank,Business invoice
TRF-00017,CUST-1087,CUST-1129,31294.81,USD,1740932868000,COMPLETED,internal,Uber share
TRF-00018,CUST-1069,CUST-1024,13933.57,SAR,1741072702000,PROCESSING,internal,Investment transfer
TRF-00019,CUST-1155,CUST-1009,11026.52,SAR,1744635234000,COMPLETED,internal,Gym membership
TRF-00020,CUST-1173,EXT-5007,42323.03,SAR,1746333859000,COMPLETED,local_bank,Uber share
TRF-00021,CUST-1025,CUST-1057,47809.69,SAR,1744449339000,COMPLETED,internal,Gym membership
TRF-00022,CUST-1055,EXT-5007,18765.07,SAR,1744779546000,PROCESSING,local_bank,Eid gift
TRF-00023,CUST-1167,CUST-1107,20710.55,SAR,1743523296000,COMPLETED,internal,Event tickets
TRF-00024,CUST-1100,EXT-5030,18393.47,USD,1740664136000,FAILED,international,Car installment
TRF-00025,CUST-1133,CUST-1133,28566.96,SAR,1736685853000,COMPLETED,internal,Eid gift
TRF-00026,CUST-1122,EXT-5022,564.54,USD,1744356609000,COMPLETED,international,Birthday gift
TRF-00027,CUST-1011,EXT-5059,1031.49,AED,1739644975000,COMPLETED,international,Wedding contribution
TRF-00028,CUST-1193,EXT-5005,1834.88,SAR,1747521633000,COMPLETED,local_bank,Eid gift
TRF-00029,CUST-1069,EXT-5076,10571.59,SAR,1742332184000,COMPLETED,local_bank,Cleaning service
TRF-00030,CUST-1113,EXT-5028,23555.45,AED,1748957269000,COMPLETED,international,Travel booking
TRF-00031,CUST-1035,CUST-1189,20521.53,SAR,1750067304000,COMPLETED,internal,Internet bill
TRF-00032,CUST-1148,EXT-5036,30719.28,SAR,1748615666000,COMPLETED,local_bank,Eid gift
TRF-00033,CUST-1131,EXT-5065,10909.32,SAR,1748428267000,COMPLETED,local_bank,Event tickets
TRF-00034,CUST-1154,CUST-1100,10270.26,SAR,1742640079000,COMPLETED,internal,Lunch money
TRF-00035,CUST-1175,CUST-1179,30899.69,SAR,1749902813000,COMPLETED,internal,Grocery share
TRF-00036,CUST-1124,EXT-5004,15752.48,SAR,1746377302000,COMPLETED,local_bank,Gas split
TRF-00037,CUST-1006,EXT-5082,6958.56,EUR,1737661243000,FAILED,international,Eid gift
TRF-00038,CUST-1016,CUST-1166,21135.15,USD,1747425515000,PROCESSING,internal,Car installment
TRF-00039,CUST-1140,EXT-5088,1496.68,SAR,1742238166000,COMPLETED,local_bank,Shared groceries
TRF-00040,CUST-1016,EXT-5009,28898.24,EUR,1747022983000,COMPLETED,international,Charity donation
TRF-00041,CUST-1050,EXT-5075,41850.52,SAR,1749760008000,FAILED,local_bank,Car installment
TRF-00042,CUST-1173,EXT-5069,24532.00,AED,1745108717000,COMPLETED,local_bank,Wedding contribution
TRF-00043,CUST-1180,CUST-1197,40216.10,SAR,1743461165000,COMPLETED,internal,Eid gift
TRF-00044,CUST-1189,CUST-1137,41524.62,SAR,1745925416000,COMPLETED,internal,Shared groceries
TRF-00045,CUST-1104,EXT-5038,10320.28,SAR,1747346616000,COMPLETED,local_bank,Travel booking
TRF-00046,CUST-1176,EXT-5031,33731.84,USD,1739665400000,COMPLETED,international,Lunch money
TRF-00047,CUST-1176,EXT-5077,5656.61,SAR,1741701939000,PROCESSING,local_bank,Investment transfer
TRF-00048,CUST-1157,EXT-5058,19025.26,SAR,1738696128000,COMPLETED,local_bank,Business invoice
TRF-00049,CUST-1088,EXT-5057,18399.54,SAR,1745866901000,COMPLETED,local_bank,Shared groceries
TRF-00050,CUST-1070,CUST-1144,37127.53,AED,1740345393000,FAILED,internal,Coffee money
TRF-00051,CUST-1063,CUST-1179,43579.55,SAR,1747058693000,PROCESSING,internal,Car installment
TRF-00052,CUST-1120,EXT-5069,25104.88,AED,1735776023000,COMPLETED,international,Cleaning service
TRF-00053,CUST-1097,EXT-5035,33893.26,SAR,1741449397000,FAILED,local_bank,Medical bill
TRF-00054,CUST-1149,EXT-5098,5156.78,USD,1746592234000,COMPLETED,international,Parking fee
TRF-00055,CUST-1198,EXT-5093,45063.61,SAR,1746651920000,COMPLETED,local_bank,Car installment
TRF-00056,CUST-1085,CUST-1052,38737.79,AED,1737602345000,COMPLETED,internal,Salary advance
TRF-00057,CUST-1154,CUST-1106,2136.14,SAR,1750439990000,COMPLETED,internal,Freelancer payment
TRF-00058,CUST-1008,EXT-5081,25883.89,SAR,1750749004000,COMPLETED,local_bank,Eid gift
TRF-00059,CUST-1041,EXT-5020,30035.91,SAR,1742638554000,COMPLETED,local_bank,Shared groceries
TRF-00060,CUST-1167,EXT-5038,37615.77,GBP,1736188916000,FAILED,international,Gas split
TRF-00061,CUST-1005,EXT-5019,32991.96,SAR,1741367847000,COMPLETED,local_bank,Shared groceries
TRF-00062,CUST-1165,EXT-5060,4449.98,SAR,1742711187000,COMPLETED,local_bank,Rent share
TRF-00063,CUST-1109,EXT-5088,29996.04,SAR,1750683440000,COMPLETED,local_bank,Gas split
TRF-00064,CUST-1029,CUST-1121,6630.26,SAR,1745035183000,COMPLETED,internal,Medical bill
TRF-00065,CUST-1035,CUST-1062,22819.91,SAR,1746342442000,PROCESSING,internal,Coffee money
TRF-00066,CUST-1045,EXT-5025,44119.33,SAR,1740390271000,COMPLETED,local_bank,Freelancer payment
TRF-00067,CUST-1084,EXT-5049,9202.18,SAR,1739928407000,COMPLETED,local_bank,Medical bill
TRF-00068,CUST-1175,EXT-5001,557.49,SAR,1748200956000,COMPLETED,local_bank,Coffee money
TRF-00069,CUST-1170,EXT-5019,32884.90,SAR,1741955988000,COMPLETED,local_bank,Wedding contribution
TRF-00070,CUST-1153,CUST-1150,46302.42,SAR,1739420848000,COMPLETED,internal,Insurance premium
TRF-00071,CUST-1064,CUST-1047,13320.34,SAR,1743254782000,COMPLETED,internal,Movie tickets
TRF-00072,CUST-1181,CUST-1064,32454.77,SAR,1743213009000,COMPLETED,internal,Gift money
TRF-00073,CUST-1194,CUST-1063,6656.55,SAR,1748510939000,FAILED,internal,Lunch money
TRF-00074,CUST-1011,CUST-1091,38207.27,SAR,1739974719000,COMPLETED,internal,Grocery share
TRF-00075,CUST-1021,EXT-5069,38946.43,GBP,1740352864000,FAILED,international,Rent share
TRF-00076,CUST-1063,EXT-5090,43860.28,SAR,1744239129000,COMPLETED,local_bank,Gift money
TRF-00077,CUST-1031,CUST-1184,49903.90,SAR,1739856062000,COMPLETED,internal,Insurance premium
TRF-00078,CUST-1071,EXT-5052,48036.90,EUR,1739554935000,COMPLETED,international,Salary advance
TRF-00079,CUST-1098,EXT-5060,31250.22,SAR,1744556533000,COMPLETED,local_bank,Lunch money
TRF-00080,CUST-1150,CUST-1034,15527.49,SAR,1749379017000,COMPLETED,internal,Internet bill
TRF-00081,CUST-1171,CUST-1035,47566.28,SAR,1738802882000,COMPLETED,internal,Medical bill
TRF-00082,CUST-1100,CUST-1043,28188.14,EUR,1737843487000,COMPLETED,internal,Loan repayment
TRF-00083,CUST-1107,EXT-5010,47431.90,EUR,1745231923000,COMPLETED,local_bank,Wedding contribution
TRF-00084,CUST-1046,CUST-1089,49263.48,SAR,1750923939000,COMPLETED,internal,Event tickets
TRF-00085,CUST-1040,EXT-5095,47567.95,SAR,1744879025000,COMPLETED,local_bank,Freelancer payment
TRF-00086,CUST-1083,EXT-5071,27803.33,AED,1743466882000,PROCESSING,international,Charity donation
TRF-00087,CUST-1116,EXT-5024,39051.64,SAR,1735889721000,COMPLETED,local_bank,Dinner split
TRF-00088,CUST-1064,CUST-1135,26167.63,SAR,1750223531000,COMPLETED,internal,Parking fee
TRF-00089,CUST-1156,CUST-1025,30160.10,SAR,1748195201000,COMPLETED,internal,Grocery share
TRF-00090,CUST-1154,CUST-1040,20128.52,GBP,1736174491000,COMPLETED,internal,Parking fee
TRF-00091,CUST-1018,CUST-1077,48944.65,SAR,1747395926000,COMPLETED,internal,Internet bill
TRF-00092,CUST-1103,CUST-1158,47195.31,SAR,1748973224000,COMPLETED,internal,Uber share
TRF-00093,CUST-1167,EXT-5030,43537.05,USD,1747944441000,COMPLETED,local_bank,Car installment
TRF-00094,CUST-1056,CUST-1031,25834.14,SAR,1745327819000,COMPLETED,internal,Birthday gift
TRF-00095,CUST-1039,EXT-5070,1668.27,SAR,1745961514000,COMPLETED,local_bank,Wedding contribution
TRF-00096,CUST-1165,CUST-1172,7996.85,SAR,1748864086000,FAILED,internal,Furniture split
TRF-00097,CUST-1035,CUST-1003,48481.35,SAR,1746566617000,COMPLETED,internal,Salary advance
TRF-00098,CUST-1133,CUST-1060,11614.05,SAR,1745249233000,COMPLETED,internal,Wedding contribution
TRF-00099,CUST-1110,EXT-5014,13058.33,SAR,1750874663000,FAILED,local_bank,Loan repayment
TRF-00100,CUST-1033,EXT-5100,48639.33,SAR,1749376631000,COMPLETED,local_bank,Cleaning service
TRF-00101,CUST-1095,EXT-5069,225.65,SAR,1743632419000,FAILED,local_bank,Insurance premium
TRF-00102,CUST-1063,EXT-5001,20430.47,SAR,1737368577000,COMPLETED,local_bank,Wedding contribution
TRF-00103,CUST-1147,CUST-1123,38226.42,SAR,1751035856000,PROCESSING,internal,Cleaning service
TRF-00104,CUST-1198,CUST-1002,39772.18,SAR,1740838938000,COMPLETED,internal,Gym membership
